Time (ns),Current (nA),Voltage (mV),Energy (uJ)
"825979000","168200","3281","799.8"
"826837000","168200","3281","800.2"
"827831000","168200","3281","800.5"
"828690000","168200","3281","801.3"
"829683000","168200","3281","801.6"
"830803000","168200","3281","802.4"
"831797000","168200","3281","802.8"
"832656000","168200","3281","803.1"
"833650000","168200","3281","803.9"
"834508000","168200","3281","804.3"
"835756000","168200","3281","805.0"
"836615000","168200","3281","805.4"
"837608000","168200","3281","806.1"
"838467000","168200","3281","806.5"
"839459000","168200","3281","807.3"
"840579000","168200","3281","807.6"
"841571000","168200","3281","808.4"
"842431000","168200","3281","808.7"
"843424000","168200","3281","809.5"
"844283000","168200","3281","809.9"
"845532000","168200","3281","810.6"
"846390000","168200","3281","811.0"
"847383000","168200","3281","811.3"
"848247000","168200","3281","812.1"
"849240000","168200","3281","812.5"
"850355000","168200","3281","813.2"
"851353000","168200","3281","813.6"
"852213000","168200","3281","814.0"
"853205000","168200","3281","814.7"
"854065000","168200","3281","815.1"
"855314000","168200","3281","815.8"
"856172000","168200","3281","816.2"
"857166000","168200","3281","817.0"
"858025000","168200","3281","817.3"
"859019000","168200","3281","818.1"
"860132000","168200","3281","818.4"
"861131000","168200","3281","819.2"
"861989000","168200","3281","819.6"
"862983000","168200","3281","820.3"
"863840000","168200","3281","820.7"
"865089000","168200","3281","821.4"
"865947000","168200","3281","821.8"
"866940000","168200","3281","822.6"
"867799000","168200","3281","822.9"
"868792000","168200","3281","823.3"
"869906000","168200","3281","824.1"
"870905000","168200","3281","824.4"
"871763000","168200","3281","825.2"
"872757000","168200","3281","825.5"
"873616000","168200","3281","825.9"
"874864000","168200","3281","826.7"
"875723000","168200","3281","827.4"
"876717000","168200","3281","827.8"
"877576000","168200","3281","828.2"
"878570000","168300","3281","828.9"
"879685000","168300","3281","829.7"
"880684000","168300","3281","830.0"
"881543000","168300","3281","830.4"
"882535000","168300","3281","831.2"
"883395000","168300","3281","831.5"
"884642000","168300","3281","832.3"
"885500000","168300","3281","832.6"
"886494000","168300","3281","833.4"
"887353000","168300","3281","833.8"
"888346000","168300","3281","834.5"
"889459000","168300","3281","834.9"
"890457000","168300","3281","835.6"
"891321000","168300","3281","836.0"
"892315000","168300","3281","836.8"
"893173000","168300","3281","837.1"
